well_id,barcode,mapped_batch_id,mapped_control,cpmd_pg,dmso_mM,pert_type,site_id,cell_tot,area,min_diameter,max_diameter,seeded,painted
C18,PB000090,1,1,1e-10,14079098.93766799,negcon,s2,20,10.564670241445164,0.8299601324646579,17.284555600773068,2023-07-04  10:45:30,2023-07-06  12:49:00
C19,PB000092,3,0,4e-10,10.0,poscon,s1,157,111.45285727266238,0.7182721442088073,199.0878354860085,2023-07-04  10:46:00,2023-07-06  12:49:00
C19,PB000092,3,0,4e-10,10.0,poscon,s2,265,120.33135078866808,0.7759176866121693,212.04027694163855,2023-07-04  10:46:00,2023-07-06  12:49:00
C20,PB000089,1,1,1e-10,14079098.93766799,negcon,s1,321,123.92027221556393,0.812714933196837,199.8517280775711,2023-07-04  10:20:30,2023-07-06  10:40:00
C20,PB000089,1,1,1e-10,14079098.93766799,negcon,s2,343,119.66902859091962,0.7950368610356144,197.6092314413031,2023-07-04  10:20:30,2023-07-06  10:40:00
C21,PB000094,1,1,1e-10,14079098.93766799,negcon,s1,119,102.25145905281464,0.7705792541108164,166.0269647216484,2023-07-04  10:46:30,2023-07-06  12:49:00
C21,PB000094,1,1,1e-10,14079098.93766799,negcon,s2,166,97.94534697618596,0.7595816971692109,173.49230136545242,2023-07-04  10:46:30,2023-07-06  12:49:00
C22,PB000096,1,1,1e-10,14079098.93766799,negcon,s1,230,116.87333164884154,0.821688876878536,199.3218622829465,2023-07-04  10:47:00,2023-07-06  12:49:00
C22,PB000096,1,1,1e-10,14079098.93766799,negcon,s2,218,128.2703392035727,0.754036991572405,230.6840413987745,2023-07-04  10:47:00,2023-07-06  12:49:00
C23,PB000093,2,1,4e-10,10.0,negcon,s1,276,133.28944976667404,0.8105439521428754,212.98675410836933,2023-07-04  10:21:30,2023-07-06  10:40:00
C23,PB000093,2,1,4e-10,10.0,negcon,s2,272,133.2072021555659,0.8068028328129133,212.80144588482165,2023-07-04  10:21:30,2023-07-06  10:40:00
D02,PB000091,3,0,3.90625e-11,10.0,poscon,s1,227,115.17455571107972,0.796825051399417,195.1599470421303,2023-07-04  10:21:00,2023-07-06  10:40:00
D02,PB000091,3,0,3.90625e-11,10.0,poscon,s2,281,123.0573600681535,0.8198210012890115,206.4399444036783,2023-07-04  10:21:00,2023-07-06  10:40:00
D03,PB000090,1,1,1e-10,14079098.93766799,negcon,s1,247,107.831782816609,0.765329026563234,189.6946451597464,2023-07-04  10:45:30,2023-07-06  12:49:00
D03,PB000090,1,1,1e-10,14079098.93766799,negcon,s2,244,123.6246466898222,0.8295303780173278,201.8626776654828,2023-07-04  10:45:30,2023-07-06  12:49:00
D04,PB000091,1,1,1e-10,14079098.93766799,negcon,s1,205,120.18693029582796,0.8153711321293635,195.01288258423045,2023-07-04  10:21:00,2023-07-06  10:40:00
D04,PB000091,1,1,1e-10,14079098.93766799,negcon,s2,137,93.71460079782432,0.7608179124945075,153.64916191957894,2023-07-04  10:21:00,2023-07-06  10:40:00
